,name,contents
2695,돌-빌레,돌뿌다귀. 돌부리
5470,돌-산테,돌 일에 쓰는 둥근 삼태기
2694,돌-쌔기,잔돌
5469,돌-안반,방춧돌
3299,돌-옷,돌 삭은 곳에 붙는 이끼
6028,돌-챙이,석수(石手)
2312,돌-칠,돌질
4438,돌-킹이,껍질이 매우 굳으며 그리 크지아니한 바닷게의 한가지
799,돌-혹,"돌절구 같은 데서 샘이나와 붙여진 명칭
"
5468,돌-혹,①절구 속에 있는 돌 홈통. ②돌이 둥글게 파진 홈통
5750,돌갱이," =신-돌갱이. 당감이
"
1358,돌구시,"돌구유
"
6388,돌껭이,⇒도껭이
582,돌다²,데리다.
585,돌다¹,①(맛이)달다. ②저울에 달다.
1363,돌도고리,"돌로 만든 함지박
"
168,돌돌이,다달이
581,돌라부뜨다,달라붙다
580,돌랑이다,두근거리다.
5449,돌랑지," =돌랭이. 허리에 차는 대바구니
"
3560,돌래-떡,둥글고 납작한 떡
5473,돌래-방석,둥글방석
5504,돌래-방석,둥글방석
5121,돌래-코," =콧-돌이래 =쇠-콧돌이래 쇠코뚜레
"
5101,돌랭이,⇒도로
3426,돌랭이,⇒돌랑지
5448,돌레,①말다래. ②짐 밑에 넣는 다래
3286,돌레-입,떡잎.
579,돌려들다,달려들다.
5749,돌리,달래( )
577,돌리다²,달리다.
578,돌리다¹,달리다.
1042,돌무깡물,"샘 주변에 돌무더기가 많이 쌓여 있어 붙여진 이름
"
983,돌미,"동쪽 산머리에 큰 바위무더기가 박힌 돌산이라 하여 붙여진 이름
"
883,돌박남-밧,"동백나무가 많아던 밭
"
4378,돌뱅이,달팽이
3300,돌베-낭,⇒꽝베낭
576,돌아가다,데려가다
575,돌아나다,도망가다.
574,돌아메다,달아 매다.
573,돌아오다,데려오다.
572,돌아지다,달리다.
5034,돌음작," =돌음잭이. 달음질
"
4948,돌음잭이,⇒돌음작
3752,돌철귀,⇒도쩔귀
3425,돌체,①채(柄). ②들것(擔架)
3298,돌캄-낭,돌감나무
1183,돌켕이,"등과 배의 딱지가 매우 단단한 게의 한 종류
"
366,돌코롬호다,돌콤호다. 달콤하다.
1372,돌테,"파종후 씨앗을 단단히 밟아주는 도구
"
2925,돌하리,조의 품종 이름 (차진것)
1377,돌화덕,"돌풍로
"
1390,돌화리,"돌화로
"
4527,돔,도미
2768,돔박,동백 열매
2767,돔박-골,동백 씨
3297,돔박-낭,동백나무
4808,돔박-생이,#NAME?
1353,돔박낭,동백나무
1338,돔배,"도마
"
